Model,Average,ARC(25-shot),HellaSwag(10-shot),MMLU(5-shot),TruthfulQA(0-shot),Parameters,URL
upstage/Llama-2-70b-instruct-v2,72.95,71.1,87.9,70.6,62.2,100.0,https://huggingface.co/upstage/Llama-2-70b-instruct-v2
upstage/Llama-2-70b-instruct,72.29,70.9,87.5,69.8,61.0,100.0,https://huggingface.co/upstage/Llama-2-70b-instruct
stabilityai/StableBeluga2,71.42,71.1,86.4,68.8,59.4,0.0,https://huggingface.co/stabilityai/StableBeluga2
augtoma/qCammel-70-x,70.97,68.3,87.9,70.2,57.5,0.0,https://huggingface.co/augtoma/qCammel-70-x
jondurbin/airoboros-l2-70b-gpt4-1.4.1,70.93,70.4,87.8,70.3,55.2,100.0,https://huggingface.co/jondurbin/airoboros-l2-70b-gpt4-1.4.1
dfurman/llama-2-70b-dolphin-peft,70.76,69.6,86.8,69.2,57.4,100.0,https://huggingface.co/dfurman/llama-2-70b-dolphin-peft
TheBloke/llama-2-70b-Guanaco-QLoRA-fp16,70.63,68.3,88.3,70.2,55.7,100.0,https://huggingface.co/TheBloke/llama-2-70b-Guanaco-QLoRA-fp16
upstage/llama-65b-instruct,69.94,68.9,86.4,64.8,59.7,92.85714285714286,https://huggingface.co/upstage/llama-65b-instruct
stabilityai/StableBeluga1-Delta,68.67,68.2,85.9,64.8,55.8,0.0,https://huggingface.co/stabilityai/StableBeluga1-Delta
TheBloke/gpt4-alpaca-lora_mlp-65B-HF,68.26,65.0,86.1,62.7,59.2,92.85714285714286,https://huggingface.co/TheBloke/gpt4-alpaca-lora_mlp-65B-HF
meta-llama/Llama-2-70b-hf,67.35,67.3,87.3,69.8,44.9,100.0,https://huggingface.co/meta-llama/Llama-2-70b-hf
TheBloke/Llama-2-70B-fp16,67.35,67.3,87.3,69.8,44.9,100.0,https://huggingface.co/TheBloke/Llama-2-70B-fp16
Weyaxi/llama-2-alpacagpt4-1000step,67.3,66.4,84.5,62.8,55.6,0.0,https://huggingface.co/Weyaxi/llama-2-alpacagpt4-1000step
openbmb/UltraLM-65b,67.26,67.1,85.0,63.5,53.5,92.85714285714286,https://huggingface.co/openbmb/UltraLM-65b
upstage/llama-30b-instruct-2048,67.02,64.9,84.9,61.9,56.3,42.857142857142854,https://huggingface.co/upstage/llama-30b-instruct-2048
jondurbin/airoboros-65b-gpt4-1.2,67.01,65.9,86.1,63.4,52.7,92.85714285714286,https://huggingface.co/jondurbin/airoboros-65b-gpt4-1.2
TheBloke/guanaco-65B-HF,66.91,65.4,86.5,62.9,52.8,92.85714285714286,https://huggingface.co/TheBloke/guanaco-65B-HF
meta-llama/Llama-2-70b-chat-hf,66.8,64.6,85.9,63.9,52.8,100.0,https://huggingface.co/meta-llama/Llama-2-70b-chat-hf
lilloukas/GPlatty-30B,66.63,65.8,84.8,63.5,52.4,42.857142857142854,https://huggingface.co/lilloukas/GPlatty-30B
TheBloke/VicUnlocked-alpaca-65B-QLoRA-fp16,66.59,65.6,85.2,63.1,52.5,92.85714285714286,https://huggingface.co/TheBloke/VicUnlocked-alpaca-65B-QLoRA-fp16
ariellee/SuperPlatty-30B,66.45,65.8,84.0,62.6,53.5,42.857142857142854,https://huggingface.co/ariellee/SuperPlatty-30B
CalderaAI/30B-Lazarus,66.08,64.9,84.3,56.5,58.6,42.857142857142854,https://huggingface.co/CalderaAI/30B-Lazarus
OpenBuddy/openbuddy-llama-65b-v8-bf16,65.87,62.8,83.6,62.0,55.1,92.85714285714286,https://huggingface.co/OpenBuddy/openbuddy-llama-65b-v8-bf16
upstage/llama-30b-instruct,65.21,62.5,86.2,59.4,52.8,42.857142857142854,https://huggingface.co/upstage/llama-30b-instruct
ausboss/llama-30b-supercot,65.11,64.8,85.1,56.6,54.0,42.857142857142854,https://huggingface.co/ausboss/llama-30b-supercot
jondurbin/airoboros-33b-gpt4-1.4,64.89,64.4,85.1,59.5,50.5,47.14285714285714,https://huggingface.co/jondurbin/airoboros-33b-gpt4-1.4
jondurbin/airoboros-33b-gpt4-1.2,64.72,64.4,84.9,60.4,49.2,47.14285714285714,https://huggingface.co/jondurbin/airoboros-33b-gpt4-1.2
TheBloke/alpaca-lora-65B-HF,64.67,64.8,85.6,63.1,45.2,92.85714285714286,https://huggingface.co/TheBloke/alpaca-lora-65B-HF
lilloukas/Platypus-30B,64.59,64.6,84.2,64.2,45.4,42.857142857142854,https://huggingface.co/lilloukas/Platypus-30B
Henk717/chronoboros-33B,64.54,63.9,85.0,59.4,49.8,47.14285714285714,https://huggingface.co/Henk717/chronoboros-33B
HiTZ/alpaca-lora-65b-en-pt-es-ca,64.54,65.0,84.9,62.2,46.1,92.85714285714286,https://huggingface.co/HiTZ/alpaca-lora-65b-en-pt-es-ca
quantumaikr/QuantumLM-70B-hf,64.53,59.5,83.0,62.2,53.4,100.0,https://huggingface.co/quantumaikr/QuantumLM-70B-hf
openaccess-ai-collective/manticore-30b-chat-pyg-alpha,64.4,64.2,84.4,57.5,51.6,42.857142857142854,https://huggingface.co/openaccess-ai-collective/manticore-30b-chat-pyg-alpha
TheBloke/WizardLM-30B-fp16,64.33,62.5,83.3,59.0,52.5,42.857142857142854,https://huggingface.co/TheBloke/WizardLM-30B-fp16
openaccess-ai-collective/hippogriff-30b-chat,64.3,64.5,85.2,59.1,48.4,42.857142857142854,https://huggingface.co/openaccess-ai-collective/hippogriff-30b-chat
concedo/Vicuzard-30B-Uncensored,64.27,63.0,83.7,58.2,52.3,42.857142857142854,https://huggingface.co/concedo/Vicuzard-30B-Uncensored
huggyllama/llama-65b,64.23,63.5,86.1,63.9,43.4,92.85714285714286,https://huggingface.co/huggyllama/llama-65b
llama-65b,64.23,63.5,86.1,63.9,43.4,92.85714285714286,
camel-ai/CAMEL-33B-Combined-Data,64.0,63.0,83.8,59.0,50.2,47.14285714285714,https://huggingface.co/camel-ai/CAMEL-33B-Combined-Data
dsvv-cair/alpaca-cleaned-llama-30b-bf16,63.96,61.8,85.1,57.5,51.5,42.857142857142854,https://huggingface.co/dsvv-cair/alpaca-cleaned-llama-30b-bf16
MetaIX/GPT4-X-Alpasta-30b,63.96,63.0,83.6,57.7,51.5,42.857142857142854,https://huggingface.co/MetaIX/GPT4-X-Alpasta-30b
OpenBuddyEA/openbuddy-llama-30b-v7.1-bf16,63.87,62.5,82.3,58.2,52.6,42.857142857142854,https://huggingface.co/OpenBuddyEA/openbuddy-llama-30b-v7.1-bf16
TheBloke/Wizard-Vicuna-30B-Uncensored-fp16,63.65,62.1,83.4,58.2,50.8,42.857142857142854,https://huggingface.co/TheBloke/Wizard-Vicuna-30B-Uncensored-fp16
ehartford/Wizard-Vicuna-30B-Uncensored,63.65,62.1,83.4,58.2,50.8,42.857142857142854,https://huggingface.co/ehartford/Wizard-Vicuna-30B-Uncensored
TheBloke/robin-33B-v2-fp16,63.65,62.4,83.6,54.7,53.9,47.14285714285714,https://huggingface.co/TheBloke/robin-33B-v2-fp16
Aeala/VicUnlocked-alpaca-30b,63.58,61.9,83.8,57.6,51.0,42.857142857142854,https://huggingface.co/Aeala/VicUnlocked-alpaca-30b
Yhyu13/oasst-rlhf-2-llama-30b-7k-steps-hf,63.55,61.4,83.8,57.9,51.2,42.857142857142854,https://huggingface.co/Yhyu13/oasst-rlhf-2-llama-30b-7k-steps-hf
tiiuae/falcon-40b-instruct,63.47,61.6,84.3,55.4,52.5,57.14285714285714,https://huggingface.co/tiiuae/falcon-40b-instruct
Aeala/GPT4-x-AlpacaDente-30b,63.44,62.1,82.8,56.2,52.7,42.857142857142854,https://huggingface.co/Aeala/GPT4-x-AlpacaDente-30b
MayaPH/GodziLLa-30B,63.44,61.5,82.1,54.2,55.9,42.857142857142854,https://huggingface.co/MayaPH/GodziLLa-30B
jondurbin/airoboros-33b-gpt4-m2.0,63.42,63.1,85.2,57.3,48.1,47.14285714285714,https://huggingface.co/jondurbin/airoboros-33b-gpt4-m2.0
jondurbin/airoboros-33b-gpt4-2.0,63.27,63.9,85.7,58.0,45.5,47.14285714285714,https://huggingface.co/jondurbin/airoboros-33b-gpt4-2.0
timdettmers/guanaco-33b-merged,62.98,62.5,84.5,53.8,51.2,47.14285714285714,https://huggingface.co/timdettmers/guanaco-33b-merged
stabilityai/StableBeluga-13B,62.91,62.0,82.3,57.7,49.6,18.571428571428573,https://huggingface.co/stabilityai/StableBeluga-13B
ehartford/WizardLM-30B-Uncensored,62.88,60.2,82.9,56.8,51.6,42.857142857142854,https://huggingface.co/ehartford/WizardLM-30B-Uncensored
digitous/Alpacino30b,62.62,62.7,85.0,58.5,44.2,42.857142857142854,https://huggingface.co/digitous/Alpacino30b
NousResearch/Nous-Hermes-Llama2-13b,62.49,61.3,83.3,55.0,50.4,18.571428571428573,https://huggingface.co/NousResearch/Nous-Hermes-Llama2-13b
Monero/WizardLM-Uncensored-SuperCOT-StoryTelling-30b,62.48,59.6,79.9,54.4,56.0,42.857142857142854,https://huggingface.co/Monero/WizardLM-Uncensored-SuperCOT-StoryTelling-30b
augtoma/qCammel-13,62.19,60.8,83.7,56.7,47.5,0.0,https://huggingface.co/augtoma/qCammel-13
elinas/chronos-33b,62.05,62.2,83.5,55.9,46.7,47.14285714285714,https://huggingface.co/elinas/chronos-33b
YeungNLP/firefly-llama2-13b,62.04,59.1,82.0,55.5,51.6,18.571428571428573,https://huggingface.co/YeungNLP/firefly-llama2-13b
OptimalScale/robin-65b-v2-delta,61.98,60.8,81.6,60.8,44.7,92.85714285714286,https://huggingface.co/OptimalScale/robin-65b-v2-delta
TheBloke/OpenAssistant-SFT-7-Llama-30B-HF,61.91,60.6,82.2,57.9,46.9,42.857142857142854,https://huggingface.co/TheBloke/OpenAssistant-SFT-7-Llama-30B-HF
Aeala/GPT4-x-AlpacaDente2-30b,61.85,60.6,81.8,56.6,48.4,42.857142857142854,https://huggingface.co/Aeala/GPT4-x-AlpacaDente2-30b
WizardLM/WizardLM-13B-V1.1,61.78,60.2,81.4,50.9,54.6,18.571428571428573,https://huggingface.co/WizardLM/WizardLM-13B-V1.1
llama-30b,61.68,61.3,84.7,58.5,42.3,42.857142857142854,
Yhyu13/llama-30B-hf-openassitant,61.68,61.3,84.7,58.5,42.3,42.857142857142854,https://huggingface.co/Yhyu13/llama-30B-hf-openassitant
TheBloke/dromedary-65b-lora-HF,61.51,61.6,82.5,63.1,38.8,92.85714285714286,https://huggingface.co/TheBloke/dromedary-65b-lora-HF
tiiuae/falcon-40b,61.48,62.0,85.3,57.0,41.7,57.14285714285714,https://huggingface.co/tiiuae/falcon-40b
SLAM-group/NewHope,61.38,60.9,84.0,55.7,44.9,0.0,https://huggingface.co/SLAM-group/NewHope
mosaicml/mpt-30b-chat,61.21,58.7,82.5,51.2,52.4,42.857142857142854,https://huggingface.co/mosaicml/mpt-30b-chat
xDAN-AI/xDAN_13b_l2_lora,61.11,61.0,82.6,56.0,44.8,18.571428571428573,https://huggingface.co/xDAN-AI/xDAN_13b_l2_lora
openchat/openchat_v3.1,61.06,60.2,82.8,56.8,44.4,0.0,https://huggingface.co/openchat/openchat_v3.1
ehartford/based-30b,60.89,63.9,85.7,58.3,35.7,42.857142857142854,https://huggingface.co/ehartford/based-30b
openchat/openchat_v3.2,60.85,59.5,82.6,56.8,44.5,0.0,https://huggingface.co/openchat/openchat_v3.2
WizardLM/WizardLM-13B-V1.2,60.79,59.0,82.2,54.6,47.3,18.571428571428573,https://huggingface.co/WizardLM/WizardLM-13B-V1.2
Mikael110/llama-2-13b-guanaco-fp16,60.67,60.9,83.2,54.6,44.0,18.571428571428573,https://huggingface.co/Mikael110/llama-2-13b-guanaco-fp16
OpenAssistant/llama2-13b-orca-8k-3319,60.59,60.8,81.9,57.1,42.6,18.571428571428573,https://huggingface.co/OpenAssistant/llama2-13b-orca-8k-3319
TheBloke/WizardLM-13B-V1-1-SuperHOT-8K-fp16,60.55,58.6,81.1,48.3,54.2,18.571428571428573,https://huggingface.co/TheBloke/WizardLM-13B-V1-1-SuperHOT-8K-fp16
OpenBuddy/openbuddy-llama2-13b-v8.1-fp16,60.47,56.0,79.8,55.0,51.2,18.571428571428573,https://huggingface.co/OpenBuddy/openbuddy-llama2-13b-v8.1-fp16
LLMs/WizardLM-13B-V1.0,60.4,57.2,80.9,52.9,50.6,18.571428571428573,https://huggingface.co/LLMs/WizardLM-13B-V1.0
