Model,Average,ARC(25-shot),HellaSwag(10-shot),MMLU(5-shot),TruthfulQA(0-shot),Parameters,URL
jondurbin/airoboros-l2-70b-gpt4-2.0,68.51,68.6,87.5,69.4,48.5,100,https://huggingface.co/jondurbin/airoboros-l2-70b-gpt4-2.0
ehartford/samantha-1.1-llama-33b,68.34,67.8,85.6,58.8,61.2,47.14285714,https://huggingface.co/ehartford/samantha-1.1-llama-33b
ajibawa-2023/scarlett-33b,68.32,67.8,85.5,59,61,47.14285714,https://huggingface.co/ajibawa-2023/scarlett-33b
ddobokki/Llama-2-70b-orca-200k,68.29,64.8,85.2,66.9,56.2,100,https://huggingface.co/ddobokki/Llama-2-70b-orca-200k
TheBloke/gpt4-alpaca-lora_mlp-65B-HF,68.26,65,86.1,62.7,59.2,92.85714286,https://huggingface.co/TheBloke/gpt4-alpaca-lora_mlp-65B-HF
NousResearch/Nous-Puffin-70B,67.83,67.4,87.4,69.8,46.8,100,https://huggingface.co/NousResearch/Nous-Puffin-70B
WizardLM/WizardLM-70B-V1.0,67.64,65,85.4,64.7,55.4,100,https://huggingface.co/WizardLM/WizardLM-70B-V1.0
WizardLM/WizardMath-70B-V1.0,67.41,66,86,67.6,50.1,100,https://huggingface.co/WizardLM/WizardMath-70B-V1.0
meta-llama/Llama-2-70b-hf,67.35,67.3,87.3,69.8,44.9,100,https://huggingface.co/meta-llama/Llama-2-70b-hf
TheBloke/Llama-2-70B-fp16,67.35,67.3,87.3,69.8,44.9,100,https://huggingface.co/TheBloke/Llama-2-70B-fp16
Weyaxi/llama-2-alpacagpt4-1000step,67.3,66.4,84.5,62.8,55.6,100,https://huggingface.co/Weyaxi/llama-2-alpacagpt4-1000step
WizardLM/WizardLM-70B-V1.0,67.3,64.1,85.4,65,54.8,100,https://huggingface.co/WizardLM/WizardLM-70B-V1.0
simsim314/WizardLM-70B-V1.0-HF,67.3,64.1,85.4,65,54.8,100,https://huggingface.co/simsim314/WizardLM-70B-V1.0-HF
simsim314/WizardLM-70B-V1.0-HF,67.28,64.1,85.4,64.8,54.8,100,https://huggingface.co/simsim314/WizardLM-70B-V1.0-HF
WizardLM/WizardLM-70B-V1.0,67.28,64.1,85.4,64.8,54.8,100,https://huggingface.co/WizardLM/WizardLM-70B-V1.0
openbmb/UltraLM-65b,67.26,67.1,85,63.5,53.5,92.85714286,https://huggingface.co/openbmb/UltraLM-65b
openbmb/UltraLM-65b,67.26,67.1,85,63.5,53.5,92.85714286,https://huggingface.co/openbmb/UltraLM-65b
psmathur/model_420_preview,67.19,67.1,87.3,69.8,44.6,100,https://huggingface.co/psmathur/model_420_preview
simsim314/WizardLM-70B-V1.0-HF,67.18,65.4,84.4,64,54.8,100,https://huggingface.co/simsim314/WizardLM-70B-V1.0-HF
WizardLM/WizardLM-70B-V1.0,67.18,65.4,84.4,64,54.8,100,https://huggingface.co/WizardLM/WizardLM-70B-V1.0
OpenBuddy/openbuddy-llama2-70b-v10.1-bf16,67.15,61.9,83.1,67.4,56.2,100,https://huggingface.co/OpenBuddy/openbuddy-llama2-70b-v10.1-bf16
upstage/llama-30b-instruct-2048,67.02,64.9,84.9,61.9,56.3,42.85714286,https://huggingface.co/upstage/llama-30b-instruct-2048
jondurbin/airoboros-65b-gpt4-1.2,67.01,65.9,86.1,63.4,52.7,92.85714286,https://huggingface.co/jondurbin/airoboros-65b-gpt4-1.2
TheBloke/guanaco-65B-HF,66.91,65.4,86.5,62.9,52.8,92.85714286,https://huggingface.co/TheBloke/guanaco-65B-HF
jondurbin/airoboros-65b-gpt4-1.3,66.83,66.1,86,63.9,51.3,92.85714286,https://huggingface.co/jondurbin/airoboros-65b-gpt4-1.3
meta-llama/Llama-2-70b-chat-hf,66.8,64.6,85.9,63.9,52.8,100,https://huggingface.co/meta-llama/Llama-2-70b-chat-hf
lilloukas/GPlatty-30B,66.63,65.8,84.8,63.5,52.4,42.85714286,https://huggingface.co/lilloukas/GPlatty-30B
TheBloke/VicUnlocked-alpaca-65B-QLoRA-fp16,66.59,65.6,85.2,63.1,52.5,92.85714286,https://huggingface.co/TheBloke/VicUnlocked-alpaca-65B-QLoRA-fp16
jondurbin/airoboros-65b-gpt4-1.4,66.59,65.8,85.8,62.3,52.4,92.85714286,https://huggingface.co/jondurbin/airoboros-65b-gpt4-1.4
jondurbin/airoboros-65b-gpt4-1.4-peft,66.59,65.8,85.8,62.3,52.4,92.85714286,https://huggingface.co/jondurbin/airoboros-65b-gpt4-1.4-peft
jondurbin/airoboros-65b-gpt4-2.0,66.51,66.8,86.7,63.4,49.2,92.85714286,https://huggingface.co/jondurbin/airoboros-65b-gpt4-2.0
ariellee/SuperPlatty-30B,66.45,65.8,84,62.6,53.5,42.85714286,https://huggingface.co/ariellee/SuperPlatty-30B
jondurbin/airoboros-65b-gpt4-1.4,66.42,65.5,85.8,62,52.4,92.85714286,https://huggingface.co/jondurbin/airoboros-65b-gpt4-1.4
jondurbin/airoboros-65b-gpt4-2.0,66.4,66.6,86.7,63.2,49.1,92.85714286,https://huggingface.co/jondurbin/airoboros-65b-gpt4-2.0
yeontaek/llama-2-70b-IA3-guanaco,66.17,68.5,85.7,67,43.5,100,https://huggingface.co/yeontaek/llama-2-70b-IA3-guanaco
CalderaAI/30B-Lazarus,66.08,64.9,84.3,56.5,58.6,42.85714286,https://huggingface.co/CalderaAI/30B-Lazarus
Aspik101/trurl-2-13b-pl-instruct_unload has been flagged! See discussion #213,66.03,59.9,80,78.7,45.6,18.57142857,https://huggingface.co/Aspik101/trurl-2-13b-pl-instruct_unload has been flagged! See discussion #213
ehartford/WizardLM-33B-V1.0-Uncensored,65.92,63.8,83.9,59.2,56.8,47.14285714,https://huggingface.co/ehartford/WizardLM-33B-V1.0-Uncensored
ehartford/WizardLM-33B-V1.0-Uncensored,65.91,63.6,83.8,59.4,56.8,47.14285714,https://huggingface.co/ehartford/WizardLM-33B-V1.0-Uncensored
OpenBuddy/openbuddy-llama-65b-v8-bf16,65.87,62.8,83.6,62,55.1,92.85714286,https://huggingface.co/OpenBuddy/openbuddy-llama-65b-v8-bf16
Aspik101/llama-30b-instruct-2048-PL-lora,65.83,63.6,84.7,61.7,53.3,42.85714286,https://huggingface.co/Aspik101/llama-30b-instruct-2048-PL-lora
h2oai/h2ogpt-research-oasst1-llama-65b,65.78,64.8,85.9,63.6,48.8,92.85714286,https://huggingface.co/h2oai/h2ogpt-research-oasst1-llama-65b
Aspik101/llama-30b-instruct-2048-PL-lora,65.74,63.3,84.7,61.7,53.4,42.85714286,https://huggingface.co/Aspik101/llama-30b-instruct-2048-PL-lora
CalderaAI/30B-Epsilon,65.64,63,83.6,56.9,59,42.85714286,https://huggingface.co/CalderaAI/30B-Epsilon
Aspik101/llama-30b-2048-instruct-PL-lora_unload,65.63,63.8,84.7,61.5,52.5,42.85714286,https://huggingface.co/Aspik101/llama-30b-2048-instruct-PL-lora_unload
jondurbin/airoboros-65b-gpt4-m2.0,65.6,65,86.4,64.4,46.7,92.85714286,https://huggingface.co/jondurbin/airoboros-65b-gpt4-m2.0
jondurbin/airoboros-65b-gpt4-m2.0,65.6,65.1,86.3,64.3,46.6,92.85714286,https://huggingface.co/jondurbin/airoboros-65b-gpt4-m2.0
Aeala/Alpaca-elina-65b,65.44,65.3,85.8,63.4,47.3,92.85714286,https://huggingface.co/Aeala/Alpaca-elina-65b
TheBloke/robin-65b-v2-fp16,65.34,62,84.6,62.5,52.3,92.85714286,https://huggingface.co/TheBloke/robin-65b-v2-fp16
TheBloke/gpt4-alpaca-lora-30b-HF,65.33,64.8,85.7,58.5,52.2,42.85714286,https://huggingface.co/TheBloke/gpt4-alpaca-lora-30b-HF
upstage/llama-30b-instruct,65.21,62.5,86.2,59.4,52.8,42.85714286,https://huggingface.co/upstage/llama-30b-instruct
OpenLemur/lemur-70b-v1,65.17,64.3,85.7,65.8,44.8,100,https://huggingface.co/OpenLemur/lemur-70b-v1
lmsys/vicuna-33b-v1.3,65.12,62.1,83,59.2,56.2,47.14285714,https://huggingface.co/lmsys/vicuna-33b-v1.3
ausboss/llama-30b-supercot,65.11,64.8,85.1,56.6,54,42.85714286,https://huggingface.co/ausboss/llama-30b-supercot
Henk717/airochronos-33B,65,64.4,85.2,59.8,50.6,47.14285714,https://huggingface.co/Henk717/airochronos-33B
lmsys/vicuna-33b-v1.3,64.99,61.6,83.1,59.2,56.1,47.14285714,https://huggingface.co/lmsys/vicuna-33b-v1.3
Henk717/airochronos-33B,64.96,64.2,85.2,59.8,50.6,47.14285714,https://huggingface.co/Henk717/airochronos-33B
bavest/fin-llama-33b-merged,64.92,65,86.2,58.7,49.8,47.14285714,https://huggingface.co/bavest/fin-llama-33b-merged
jondurbin/airoboros-33b-gpt4-1.4,64.89,64.4,85.1,59.5,50.5,47.14285714,https://huggingface.co/jondurbin/airoboros-33b-gpt4-1.4
YeungNLP/firefly-llama-30b,64.83,64.2,83.6,58.2,53.2,42.85714286,https://huggingface.co/YeungNLP/firefly-llama-30b
Aspik101/30B-Lazarus-instruct-PL-lora_unload,64.82,62.8,84.1,56.9,55.5,42.85714286,https://huggingface.co/Aspik101/30B-Lazarus-instruct-PL-lora_unload
jondurbin/airoboros-33b-gpt4-1.2,64.72,64.4,84.9,60.4,49.2,47.14285714,https://huggingface.co/jondurbin/airoboros-33b-gpt4-1.2
TheBloke/alpaca-lora-65B-HF,64.67,64.8,85.6,63.1,45.2,92.85714286,https://huggingface.co/TheBloke/alpaca-lora-65B-HF
bofenghuang/vigogne-33b-instruct,64.62,63,85,58.3,52.1,47.14285714,https://huggingface.co/bofenghuang/vigogne-33b-instruct
garage-bAInd/Platypus-30B,64.61,64.6,84.3,64.2,45.4,42.85714286,https://huggingface.co/garage-bAInd/Platypus-30B
Open-Orca/OpenOrca-Platypus2-13B,64.6,62.8,83.2,59.4,53.1,18.57142857,https://huggingface.co/Open-Orca/OpenOrca-Platypus2-13B
kajdun/viwaai-30b_v4,64.6,63.5,84.2,57.5,53.2,42.85714286,https://huggingface.co/kajdun/viwaai-30b_v4
lilloukas/Platypus-30B,64.59,64.6,84.2,64.2,45.4,42.85714286,https://huggingface.co/lilloukas/Platypus-30B
Open-Orca/OpenOrca-Platypus2-13B,64.57,62.9,83.2,59.3,53,18.57142857,https://huggingface.co/Open-Orca/OpenOrca-Platypus2-13B
Henk717/chronoboros-33B,64.54,63.9,85,59.4,49.8,47.14285714,https://huggingface.co/Henk717/chronoboros-33B
HiTZ/alpaca-lora-65b-en-pt-es-ca,64.54,65,84.9,62.2,46.1,92.85714286,https://huggingface.co/HiTZ/alpaca-lora-65b-en-pt-es-ca
quantumaikr/QuantumLM-70B-hf,64.53,59.5,83,62.2,53.4,100,https://huggingface.co/quantumaikr/QuantumLM-70B-hf
openaccess-ai-collective/manticore-30b-chat-pyg-alpha,64.4,64.2,84.4,57.5,51.6,42.85714286,https://huggingface.co/openaccess-ai-collective/manticore-30b-chat-pyg-alpha
LLMs/WizardLM-30B-V1.0,64.34,62.5,83.3,59,52.5,42.85714286,https://huggingface.co/LLMs/WizardLM-30B-V1.0
TheBloke/WizardLM-30B-fp16,64.33,62.5,83.3,59,52.5,42.85714286,https://huggingface.co/TheBloke/WizardLM-30B-fp16
openaccess-ai-collective/hippogriff-30b-chat,64.3,64.5,85.2,59.1,48.4,42.85714286,https://huggingface.co/openaccess-ai-collective/hippogriff-30b-chat
concedo/Vicuzard-30B-Uncensored,64.27,63,83.7,58.2,52.3,42.85714286,https://huggingface.co/concedo/Vicuzard-30B-Uncensored
llama-65b,64.23,63.5,86.1,63.9,43.4,92.85714286,
huggyllama/llama-65b,64.23,63.5,86.1,63.9,43.4,92.85714286,https://huggingface.co/huggyllama/llama-65b
gaodrew/gaodrew-llama-30b-instruct-2048-Open-Platypus-100steps,64.21,61.5,84.1,60.2,51,42.85714286,https://huggingface.co/gaodrew/gaodrew-llama-30b-instruct-2048-Open-Platypus-100steps
camel-ai/CAMEL-33B-Combined-Data,64,63,83.8,59,50.2,47.14285714,https://huggingface.co/camel-ai/CAMEL-33B-Combined-Data
dsvv-cair/alpaca-cleaned-llama-30b-bf16,63.96,61.8,85.1,57.5,51.5,42.85714286,https://huggingface.co/dsvv-cair/alpaca-cleaned-llama-30b-bf16
MetaIX/GPT4-X-Alpasta-30b,63.96,63,83.6,57.7,51.5,42.85714286,https://huggingface.co/MetaIX/GPT4-X-Alpasta-30b
garage-bAInd/Stable-Platypus2-13B,63.96,62.7,82.3,58.3,52.5,18.57142857,https://huggingface.co/garage-bAInd/Stable-Platypus2-13B
OpenBuddyEA/openbuddy-llama-30b-v7.1-bf16,63.87,62.5,82.3,58.2,52.6,42.85714286,https://huggingface.co/OpenBuddyEA/openbuddy-llama-30b-v7.1-bf16
OpenBuddyEA/openbuddy-llama-30b-v7.1-bf16,63.86,62.4,82.3,58.2,52.6,42.85714286,https://huggingface.co/OpenBuddyEA/openbuddy-llama-30b-v7.1-bf16
Open-Orca/OpenOrcaxOpenChat-Preview2-13B,63.81,62.4,83,58.7,51.2,18.57142857,https://huggingface.co/Open-Orca/OpenOrcaxOpenChat-Preview2-13B
psmathur/model_007_13b_v2,63.81,62,82.5,57.3,53.5,18.57142857,https://huggingface.co/psmathur/model_007_13b_v2
Aspik101/Vicuzard-30B-Uncensored-instruct-PL-lora_unload,63.72,62.5,83.7,57.8,50.9,42.85714286,https://huggingface.co/Aspik101/Vicuzard-30B-Uncensored-instruct-PL-lora_unload
jondurbin/airoboros-33b-gpt4-m2.0,63.71,64.7,85,57.8,47.4,47.14285714,https://huggingface.co/jondurbin/airoboros-33b-gpt4-m2.0
TheBloke/Wizard-Vicuna-30B-Uncensored-fp16,63.65,62.1,83.4,58.2,50.8,42.85714286,https://huggingface.co/TheBloke/Wizard-Vicuna-30B-Uncensored-fp16
ehartford/Wizard-Vicuna-30B-Uncensored,63.65,62.1,83.4,58.2,50.8,42.85714286,https://huggingface.co/ehartford/Wizard-Vicuna-30B-Uncensored
TheBloke/robin-33B-v2-fp16,63.65,62.4,83.6,54.7,53.9,47.14285714,https://huggingface.co/TheBloke/robin-33B-v2-fp16
totally-not-an-llm/PuddleJumper-13b,63.64,58.7,81.2,58.2,56.4,18.57142857,https://huggingface.co/totally-not-an-llm/PuddleJumper-13b
Aeala/VicUnlocked-alpaca-30b,63.58,61.9,83.8,57.6,51,42.85714286,https://huggingface.co/Aeala/VicUnlocked-alpaca-30b
Yhyu13/oasst-rlhf-2-llama-30b-7k-steps-hf,63.55,61.4,83.8,57.9,51.2,42.85714286,https://huggingface.co/Yhyu13/oasst-rlhf-2-llama-30b-7k-steps-hf
jondurbin/airoboros-33b-gpt4,63.55,63.7,84.9,58.5,47.1,47.14285714,https://huggingface.co/jondurbin/airoboros-33b-gpt4
jondurbin/airoboros-33b-gpt4-m2.0,63.55,63.4,85.2,57.5,48.2,47.14285714,https://huggingface.co/jondurbin/airoboros-33b-gpt4-m2.0
tiiuae/falcon-40b-instruct,63.47,61.6,84.3,55.4,52.5,57.14285714,https://huggingface.co/tiiuae/falcon-40b-instruct
psmathur/orca_mini_v3_13b,63.45,63.1,82.4,56.5,51.8,18.57142857,https://huggingface.co/psmathur/orca_mini_v3_13b
Aeala/GPT4-x-AlpacaDente-30b,63.44,62.1,82.8,56.2,52.7,42.85714286,https://huggingface.co/Aeala/GPT4-x-AlpacaDente-30b
MayaPH/GodziLLa-30B,63.44,61.5,82.1,54.2,55.9,42.85714286,https://huggingface.co/MayaPH/GodziLLa-30B
jondurbin/airoboros-33b-gpt4-m2.0,63.42,63.1,85.2,57.3,48.1,47.14285714,https://huggingface.co/jondurbin/airoboros-33b-gpt4-m2.0
ajibawa-2023/carl-33b,63.39,64.6,85.3,58.4,45.3,47.14285714,https://huggingface.co/ajibawa-2023/carl-33b
jondurbin/airoboros-33b-gpt4-2.0,63.37,63.8,85.6,58.4,45.6,47.14285714,https://huggingface.co/jondurbin/airoboros-33b-gpt4-2.0
jondurbin/airoboros-33b-gpt4-1.3,63.3,63.8,85.1,58.9,45.3,47.14285714,https://huggingface.co/jondurbin/airoboros-33b-gpt4-1.3
TehVenom/oasst-sft-6-llama-33b-xor-MERGED-16bit,63.29,61.5,83.5,57.4,50.7,47.14285714,https://huggingface.co/TehVenom/oasst-sft-6-llama-33b-xor-MERGED-16bit
jondurbin/airoboros-33b-gpt4-2.0,63.27,63.9,85.7,58,45.5,47.14285714,https://huggingface.co/jondurbin/airoboros-33b-gpt4-2.0
chargoddard/Chronorctypus-Limarobormes-13b,63.25,59.9,82.8,58.4,51.9,18.57142857,https://huggingface.co/chargoddard/Chronorctypus-Limarobormes-13b
jondurbin/airoboros-33b-gpt4-1.3,63.21,63.9,85,58.5,45.4,47.14285714,https://huggingface.co/jondurbin/airoboros-33b-gpt4-1.3
FelixChao/vicuna-33b-coder,63.18,60.7,83.3,56.9,51.8,47.14285714,https://huggingface.co/FelixChao/vicuna-33b-coder
FelixChao/vicuna-33b-coder,63.16,60.4,83.3,57.2,51.8,47.14285714,https://huggingface.co/FelixChao/vicuna-33b-coder
Gryphe/MythoMix-L2-13b,63.11,61.1,83.9,55.4,52.1,18.57142857,https://huggingface.co/Gryphe/MythoMix-L2-13b
Aeala/Enterredaas-33b,63.1,60.9,84.2,58.3,49,47.14285714,https://huggingface.co/Aeala/Enterredaas-33b
yeontaek/llama-2-13B-ensemble-v1,63.1,62.3,82.4,57.6,50.2,18.57142857,https://huggingface.co/yeontaek/llama-2-13B-ensemble-v1
yihan6324/llama2-13b-instructmining-40k-sharegpt,62.99,60,83.1,56.5,52.4,18.57142857,https://huggingface.co/yihan6324/llama2-13b-instructmining-40k-sharegpt
timdettmers/guanaco-33b-merged,62.98,62.5,84.5,53.8,51.2,47.14285714,https://huggingface.co/timdettmers/guanaco-33b-merged
circulus/Llama-2-13b-orca-v1,62.95,62.2,82.3,57.7,49.6,18.57142857,https://huggingface.co/circulus/Llama-2-13b-orca-v1
Gryphe/MythoMax-L2-13b,62.95,60.9,83.6,55.3,52,18.57142857,https://huggingface.co/Gryphe/MythoMax-L2-13b
stabilityai/StableBeluga-13B,62.91,62,82.3,57.7,49.6,18.57142857,https://huggingface.co/stabilityai/StableBeluga-13B
circulus/Llama-2-13b-orca-v1,62.91,62,82.3,57.7,49.6,18.57142857,https://huggingface.co/circulus/Llama-2-13b-orca-v1
ehartford/WizardLM-30B-Uncensored,62.88,60.2,82.9,56.8,51.6,42.85714286,https://huggingface.co/ehartford/WizardLM-30B-Uncensored
The-Face-Of-Goonery/huginnv1.2,62.87,62.4,84.3,57,47.8,18.57142857,https://huggingface.co/The-Face-Of-Goonery/huginnv1.2
bofenghuang/vigogne-2-13b-instruct,62.86,61.2,83.2,55.9,51.1,18.57142857,https://huggingface.co/bofenghuang/vigogne-2-13b-instruct
The-Face-Of-Goonery/Huginn-13b-FP16,62.82,60.6,82.5,53.7,54.5,18.57142857,https://huggingface.co/The-Face-Of-Goonery/Huginn-13b-FP16
grimpep/L2-MythoMax22b-instruct-Falseblock,62.8,60.5,82.1,52.9,55.8,31.42857143,https://huggingface.co/grimpep/L2-MythoMax22b-instruct-Falseblock
yeontaek/Platypus2xOpenOrca-13B-IA3-v4,62.73,61.4,81.8,59,48.6,18.57142857,https://huggingface.co/yeontaek/Platypus2xOpenOrca-13B-IA3-v4
yeontaek/Platypus2xOpenOrca-13B-IA3,62.73,62.1,82.1,58.8,47.9,18.57142857,https://huggingface.co/yeontaek/Platypus2xOpenOrca-13B-IA3
yeontaek/Platypus2xOpenOrca-13B-IA3-ensemble,62.73,62.1,82.3,59.1,47.5,18.57142857,https://huggingface.co/yeontaek/Platypus2xOpenOrca-13B-IA3-ensemble
Open-Orca/LlongOrca-13B-16k,62.71,62.5,82.8,55.5,50.1,18.57142857,https://huggingface.co/Open-Orca/LlongOrca-13B-16k
