Model,Average,ARC (25-shot),HellaSwag (10-shot),MMLU (5-shot),TruthfulQA (0-shot),Parameters,URL
tiiuae/falcon-40b,60.4,61.9,85.3,52.7,41.7,33.33333333333333,https://huggingface.co/tiiuae/falcon-40b
ausboss/llama-30b-supercot,59.8,58.5,82.9,44.3,53.6,25.0,https://huggingface.co/ausboss/llama-30b-supercot
llama-65b,58.3,57.8,84.2,48.8,42.3,54.166666666666664,
MetaIX/GPT4-X-Alpasta-30b,57.9,56.7,81.4,43.6,49.7,25.0,https://huggingface.co/MetaIX/GPT4-X-Alpasta-30b
digitous/Alpacino30b,57.4,57.1,82.6,46.1,43.8,25.0,https://huggingface.co/digitous/Alpacino30b
Aeala/GPT4-x-AlpacaDente2-30b,57.2,56.1,79.8,44.0,49.1,25.0,https://huggingface.co/Aeala/GPT4-x-AlpacaDente2-30b
TheBloke/dromedary-65b-lora-HF,57.0,57.8,80.8,50.8,38.8,54.166666666666664,https://huggingface.co/TheBloke/dromedary-65b-lora-HF
TheBloke/Wizard-Vicuna-13B-Uncensored-HF,57.0,53.6,79.6,42.7,52.0,10.833333333333334,https://huggingface.co/TheBloke/Wizard-Vicuna-13B-Uncensored-HF
llama-30b,56.9,57.1,82.6,45.7,42.3,25.0,
openaccess-ai-collective/wizard-mega-13b,55.7,52.5,78.6,41.0,50.6,10.833333333333334,https://huggingface.co/openaccess-ai-collective/wizard-mega-13b
TheBloke/vicuna-13B-1.1-HF,53.7,47.4,78.0,39.6,49.8,10.833333333333334,https://huggingface.co/TheBloke/vicuna-13B-1.1-HF
chavinlo/gpt4-x-alpaca,53.6,47.8,77.7,39.1,49.7,0.0,https://huggingface.co/chavinlo/gpt4-x-alpaca
eachadea/vicuna-13b,53.1,45.1,77.9,38.1,51.3,10.833333333333334,https://huggingface.co/eachadea/vicuna-13b
stable-vicuna-13b,52.4,48.1,76.4,38.8,46.5,10.833333333333334,
eachadea/vicuna-7b-1.1,52.2,47.0,75.2,37.5,48.9,5.833333333333333,https://huggingface.co/eachadea/vicuna-7b-1.1
llama-13b,51.8,50.8,78.9,37.7,39.9,10.833333333333334,
alpaca-13b,51.7,51.9,77.6,37.6,39.6,10.833333333333334,
facebook/galactica-120b,51.2,46.8,66.4,50.4,41.3,100.0,https://huggingface.co/facebook/galactica-120b
jondurbin/airoboros-7b,50.8,48.0,75.6,36.3,43.3,5.833333333333333,https://huggingface.co/jondurbin/airoboros-7b
TheBloke/wizardLM-7B-HF,50.1,44.7,73.4,36.9,45.4,5.833333333333333,https://huggingface.co/TheBloke/wizardLM-7B-HF
wordcab/llama-natural-instructions-13b,49.7,48.0,77.1,36.1,37.7,10.833333333333334,https://huggingface.co/wordcab/llama-natural-instructions-13b
tiiuae/falcon-7b,48.8,47.9,78.1,35.0,34.3,5.833333333333333,https://huggingface.co/tiiuae/falcon-7b
chainyo/alpaca-lora-7b,48.4,45.5,75.2,34.4,38.7,5.833333333333333,https://huggingface.co/chainyo/alpaca-lora-7b
llama-7b,47.6,46.6,75.6,34.2,34.1,5.833333333333333,
facebook/opt-66b,47.6,46.7,76.2,32.3,35.3,55.00000000000001,https://huggingface.co/facebook/opt-66b
Salesforce/codegen-16B-nl,46.4,46.8,71.9,32.8,34.0,13.333333333333334,https://huggingface.co/Salesforce/codegen-16B-nl
