Model,Average,ARC(25-shot),HellaSwag(10-shot),MMLU(5-shot),TruthfulQA(0-shot),Parameters,URL
OpenBuddy/openbuddy-llama2-13b-v8.1-fp16,60.47,56.0,79.8,55.0,51.2,18.571428571428573,https://huggingface.co/OpenBuddy/openbuddy-llama2-13b-v8.1-fp16
LLMs/WizardLM-13B-V1.0,60.4,57.2,80.9,52.9,50.6,18.571428571428573,https://huggingface.co/LLMs/WizardLM-13B-V1.0
chansung/gpt4-alpaca-lora-13b-decapoda-1024,60.4,59.4,81.9,47.8,52.6,18.571428571428573,https://huggingface.co/chansung/gpt4-alpaca-lora-13b-decapoda-1024
TheBloke/wizardLM-13B-1.0-fp16,60.4,57.2,80.9,52.9,50.6,18.571428571428573,https://huggingface.co/TheBloke/wizardLM-13B-1.0-fp16
Monero/WizardLM-30B-Uncensored-Guanaco-SuperCOT-30b,60.31,55.6,80.4,54.0,51.3,42.857142857142854,https://huggingface.co/Monero/WizardLM-30B-Uncensored-Guanaco-SuperCOT-30b
TheBloke/UltraLM-13B-fp16,60.3,57.6,80.2,51.8,51.6,18.571428571428573,https://huggingface.co/TheBloke/UltraLM-13B-fp16
openaccess-ai-collective/minotaur-13b-fixed,60.29,59.0,81.7,50.1,50.4,18.571428571428573,https://huggingface.co/openaccess-ai-collective/minotaur-13b-fixed
NousResearch/Redmond-Puffin-13B,60.27,60.4,83.2,55.4,42.1,18.571428571428573,https://huggingface.co/NousResearch/Redmond-Puffin-13B
KoboldAI/LLaMA2-13B-Holomax,60.25,60.5,82.9,54.7,43.0,18.571428571428573,https://huggingface.co/KoboldAI/LLaMA2-13B-Holomax
Lajonbot/WizardLM-13B-V1.2-PL-lora_unload,60.24,58.5,81.1,55.2,46.2,18.571428571428573,https://huggingface.co/Lajonbot/WizardLM-13B-V1.2-PL-lora_unload
jondurbin/airoboros-13b,60.23,58.3,81.0,50.0,51.6,18.571428571428573,https://huggingface.co/jondurbin/airoboros-13b
TheBloke/airoboros-13B-HF,60.23,58.3,81.0,50.0,51.6,18.571428571428573,https://huggingface.co/TheBloke/airoboros-13B-HF
h2oai/h2ogpt-research-oig-oasst1-512-30b,60.19,59.0,82.6,50.7,48.5,42.857142857142854,https://huggingface.co/h2oai/h2ogpt-research-oig-oasst1-512-30b
dfurman/llama-2-13b-guanaco-peft,60.19,60.0,82.4,55.8,42.6,18.571428571428573,https://huggingface.co/dfurman/llama-2-13b-guanaco-peft
NousResearch/Redmond-Puffin-13B,60.18,60.5,83.2,55.0,42.1,18.571428571428573,https://huggingface.co/NousResearch/Redmond-Puffin-13B
NousResearch/Nous-Hermes-13b,60.15,56.6,82.1,50.4,51.5,18.571428571428573,https://huggingface.co/NousResearch/Nous-Hermes-13b
ehartford/Wizard-Vicuna-13B-Uncensored,60.13,59.0,82.0,47.9,51.7,18.571428571428573,https://huggingface.co/ehartford/Wizard-Vicuna-13B-Uncensored
TheBloke/Wizard-Vicuna-13B-Uncensored-HF,60.13,59.0,82.0,47.9,51.7,18.571428571428573,https://huggingface.co/TheBloke/Wizard-Vicuna-13B-Uncensored-HF
bhenrym14/airophin-v2-13b-PI-8k-fp16,60.11,60.6,83.0,56.8,40.1,18.571428571428573,https://huggingface.co/bhenrym14/airophin-v2-13b-PI-8k-fp16
openaccess-ai-collective/manticore-13b,60.08,58.7,81.6,50.8,49.2,18.571428571428573,https://huggingface.co/openaccess-ai-collective/manticore-13b
jphme/Llama-2-13b-chat-german,60.07,57.8,81.7,54.4,46.3,18.571428571428573,https://huggingface.co/jphme/Llama-2-13b-chat-german
FPHam/Free_Sydney_13b_HF,60.04,59.4,81.4,53.7,45.6,18.571428571428573,https://huggingface.co/FPHam/Free_Sydney_13b_HF
lmsys/vicuna-13b-v1.3,60.01,54.6,80.4,52.9,52.1,18.571428571428573,https://huggingface.co/lmsys/vicuna-13b-v1.3
FelixChao/llama2-13b-math1.1,59.99,57.2,80.7,53.6,48.4,18.571428571428573,https://huggingface.co/FelixChao/llama2-13b-math1.1
CalderaAI/13B-BlueMethod,59.95,59.6,82.1,50.3,47.7,18.571428571428573,https://huggingface.co/CalderaAI/13B-BlueMethod
meta-llama/Llama-2-13b-chat-hf,59.93,59.0,81.9,54.6,44.1,18.571428571428573,https://huggingface.co/meta-llama/Llama-2-13b-chat-hf
WizardLM/WizardMath-13B-V1.0,59.92,60.2,81.9,55.0,42.6,18.571428571428573,https://huggingface.co/WizardLM/WizardMath-13B-V1.0
WizardLM/WizardMath-13B-V1.0,59.89,60.1,82.0,54.8,42.7,18.571428571428573,https://huggingface.co/WizardLM/WizardMath-13B-V1.0
WizardLM/WizardMath-13B-V1.0,59.89,60.1,82.0,54.8,42.7,18.571428571428573,https://huggingface.co/WizardLM/WizardMath-13B-V1.0
openchat/openchat_v2_w,59.86,57.3,81.2,50.2,50.7,0.0,https://huggingface.co/openchat/openchat_v2_w
psmathur/orca_mini_v3_7b,59.86,56.9,79.6,52.4,50.5,10.0,https://huggingface.co/psmathur/orca_mini_v3_7b
TehVenom/Metharme-13b-Merged,59.84,59.9,81.1,47.2,51.2,18.571428571428573,https://huggingface.co/TehVenom/Metharme-13b-Merged
OpenAssistant/llama2-13b-orca-v2-8k-3166,59.83,56.9,80.2,55.5,46.7,18.571428571428573,https://huggingface.co/OpenAssistant/llama2-13b-orca-v2-8k-3166
openaccess-ai-collective/wizard-mega-13b,59.81,57.3,81.1,50.6,50.2,18.571428571428573,https://huggingface.co/openaccess-ai-collective/wizard-mega-13b
jondurbin/airoboros-13b-gpt4-1.4-fp16,59.81,59.6,83.2,47.6,48.8,18.571428571428573,https://huggingface.co/jondurbin/airoboros-13b-gpt4-1.4-fp16
jondurbin/airoboros-13b-gpt4-1.4,59.81,59.6,83.2,47.6,48.8,18.571428571428573,https://huggingface.co/jondurbin/airoboros-13b-gpt4-1.4
Monero/Manticore-13b-Chat-Pyg-Guanaco,59.81,56.8,82.3,47.8,52.3,18.571428571428573,https://huggingface.co/Monero/Manticore-13b-Chat-Pyg-Guanaco
FelixChao/llama2-13b-math1.2,59.77,56.9,80.7,53.2,48.2,18.571428571428573,https://huggingface.co/FelixChao/llama2-13b-math1.2
Gryphe/MythoBoros-13b,59.75,58.2,81.8,50.1,48.9,18.571428571428573,https://huggingface.co/Gryphe/MythoBoros-13b
CalderaAI/13B-Ouroboros,59.74,57.4,82.1,51.4,48.0,18.571428571428573,https://huggingface.co/CalderaAI/13B-Ouroboros
OpenAssistant/llama2-13b-orca-v2-8k-3166,59.73,56.5,80.3,55.4,46.8,18.571428571428573,https://huggingface.co/OpenAssistant/llama2-13b-orca-v2-8k-3166
heegyu/LIMA2-13b-hf,59.72,60.2,83.7,53.2,41.8,18.571428571428573,https://huggingface.co/heegyu/LIMA2-13b-hf
digitous/13B-HyperMantis,59.71,58.5,82.2,50.6,47.5,18.571428571428573,https://huggingface.co/digitous/13B-HyperMantis
Gryphe/MythoLogic-13b,59.71,58.4,81.6,49.4,49.5,18.571428571428573,https://huggingface.co/Gryphe/MythoLogic-13b
openchat/openchat_v2,59.61,57.2,81.1,50.6,49.5,0.0,https://huggingface.co/openchat/openchat_v2
stabilityai/StableBeluga-7B,59.59,56.3,79.1,52.7,50.2,10.0,https://huggingface.co/stabilityai/StableBeluga-7B
circulus/Llama-2-7b-orca-v1,59.59,56.3,79.1,52.7,50.2,10.0,https://huggingface.co/circulus/Llama-2-7b-orca-v1
TheBloke/gpt4-x-vicuna-13B-HF,59.58,53.4,80.1,51.2,53.6,18.571428571428573,https://huggingface.co/TheBloke/gpt4-x-vicuna-13B-HF
Lajonbot/tableBeluga-7B-instruct-pl-lora_unload,59.56,56.2,79.1,52.7,50.2,10.0,https://huggingface.co/Lajonbot/tableBeluga-7B-instruct-pl-lora_unload
jondurbin/airoboros-13b-gpt4-1.1,59.53,59.0,83.0,49.4,46.6,18.571428571428573,https://huggingface.co/jondurbin/airoboros-13b-gpt4-1.1
TheBloke/gpt4-alpaca-lora-13B-HF,59.52,59.6,82.1,47.5,49.0,18.571428571428573,https://huggingface.co/TheBloke/gpt4-alpaca-lora-13B-HF
openaccess-ai-collective/manticore-13b-chat-pyg,59.5,58.5,82.0,48.8,48.8,18.571428571428573,https://huggingface.co/openaccess-ai-collective/manticore-13b-chat-pyg
Lajonbot/Llama-2-13b-hf-instruct-pl-lora_unload,59.48,59.5,82.2,54.8,41.4,18.571428571428573,https://huggingface.co/Lajonbot/Llama-2-13b-hf-instruct-pl-lora_unload
jondurbin/airoboros-l2-13b-gpt4-1.4.1,59.45,59.1,82.8,55.6,40.3,18.571428571428573,https://huggingface.co/jondurbin/airoboros-l2-13b-gpt4-1.4.1
yihan6324/llama2-7b-instructmining-40k-sharegpt,59.42,55.1,79.0,50.4,53.2,10.0,https://huggingface.co/yihan6324/llama2-7b-instructmining-40k-sharegpt
Aeala/GPT4-x-Alpasta-13b,59.39,58.5,79.9,46.0,53.1,18.571428571428573,https://huggingface.co/Aeala/GPT4-x-Alpasta-13b
psmathur/orca_mini_v2_13b,59.36,55.1,79.7,50.1,52.6,18.571428571428573,https://huggingface.co/psmathur/orca_mini_v2_13b
YeungNLP/firefly-llama-13b,59.34,59.0,79.7,49.1,49.6,18.571428571428573,https://huggingface.co/YeungNLP/firefly-llama-13b
psmathur/orca_mini_v2_13b,59.33,55.3,79.6,49.8,52.6,18.571428571428573,https://huggingface.co/psmathur/orca_mini_v2_13b
yihan6324/llama-2-7b-instructmining-60k-sharegpt,59.3,54.4,78.6,51.3,52.9,10.0,https://huggingface.co/yihan6324/llama-2-7b-instructmining-60k-sharegpt
yihan6324/llama2-7b-instructmining-60k-sharegpt,59.3,54.4,78.6,51.3,52.9,10.0,https://huggingface.co/yihan6324/llama2-7b-instructmining-60k-sharegpt
layoric/llama-2-13b-code-alpaca,59.3,60.8,82.1,55.9,38.3,18.571428571428573,https://huggingface.co/layoric/llama-2-13b-code-alpaca
bofenghuang/vigogne-13b-instruct,59.28,57.9,81.3,47.6,50.2,18.571428571428573,https://huggingface.co/bofenghuang/vigogne-13b-instruct
Lajonbot/vicuna-13b-v1.3-PL-lora_unload,59.27,54.9,80.4,52.2,49.6,18.571428571428573,https://huggingface.co/Lajonbot/vicuna-13b-v1.3-PL-lora_unload
ehartford/dolphin-llama-13b,59.26,55.6,77.1,52.2,52.2,18.571428571428573,https://huggingface.co/ehartford/dolphin-llama-13b
YeungNLP/firefly-llama-13b-v1.2,59.25,56.7,80.3,48.9,51.0,18.571428571428573,https://huggingface.co/YeungNLP/firefly-llama-13b-v1.2
TheBloke/vicuna-13B-1.1-HF,59.22,52.7,80.1,51.9,52.1,18.571428571428573,https://huggingface.co/TheBloke/vicuna-13B-1.1-HF
eachadea/vicuna-13b-1.1,59.22,52.7,80.1,51.9,52.1,18.571428571428573,https://huggingface.co/eachadea/vicuna-13b-1.1
kevinpro/Vicuna-13B-CoT,59.22,52.7,80.1,51.9,52.1,18.571428571428573,https://huggingface.co/kevinpro/Vicuna-13B-CoT
pillowtalks-ai/delta13b,59.22,52.7,80.1,51.9,52.1,18.571428571428573,https://huggingface.co/pillowtalks-ai/delta13b
lmsys/vicuna-13b-delta-v1.1,59.21,52.7,80.1,51.9,52.1,18.571428571428573,https://huggingface.co/lmsys/vicuna-13b-delta-v1.1
TheBloke/Vicuna-13B-CoT-fp16,59.21,52.7,80.1,51.9,52.1,18.571428571428573,https://huggingface.co/TheBloke/Vicuna-13B-CoT-fp16
lmsys/vicuna-13b-v1.1,59.21,52.7,80.1,51.9,52.1,18.571428571428573,https://huggingface.co/lmsys/vicuna-13b-v1.1
TheBloke/guanaco-13B-HF,59.18,57.8,83.8,48.3,46.7,18.571428571428573,https://huggingface.co/TheBloke/guanaco-13B-HF
edor/Stable-Platypus2-mini-7B,59.16,54.9,79.0,51.8,51.1,10.0,https://huggingface.co/edor/Stable-Platypus2-mini-7B
TheBloke/Nous-Hermes-13B-SuperHOT-8K-fp16,59.15,55.3,81.9,48.2,51.2,18.571428571428573,https://huggingface.co/TheBloke/Nous-Hermes-13B-SuperHOT-8K-fp16
jondurbin/airoboros-13b-gpt4-1.2,59.09,58.4,81.6,48.8,47.5,18.571428571428573,https://huggingface.co/jondurbin/airoboros-13b-gpt4-1.2
TheBloke/robin-13B-v2-fp16,59.07,56.5,80.4,48.8,50.6,18.571428571428573,https://huggingface.co/TheBloke/robin-13B-v2-fp16
TFLai/llama-2-13b-4bit-alpaca-gpt4,59.06,57.7,81.0,51.8,45.7,18.571428571428573,https://huggingface.co/TFLai/llama-2-13b-4bit-alpaca-gpt4
dvruette/oasst-llama-13b-2-epochs,59.04,57.9,82.4,48.6,47.3,18.571428571428573,https://huggingface.co/dvruette/oasst-llama-13b-2-epochs
Aspik101/Nous-Hermes-13b-pl-lora_unload,59.01,57.1,81.5,49.2,48.3,18.571428571428573,https://huggingface.co/Aspik101/Nous-Hermes-13b-pl-lora_unload
nkpz/llama2-22b-chat-wizard-uncensored,59.0,56.2,80.4,53.6,45.8,31.428571428571427,https://huggingface.co/nkpz/llama2-22b-chat-wizard-uncensored
bofenghuang/vigogne-13b-chat,58.99,58.6,80.8,47.8,48.7,18.571428571428573,https://huggingface.co/bofenghuang/vigogne-13b-chat
OptimalScale/robin-13b-v2-delta,58.96,56.6,80.4,48.4,50.5,18.571428571428573,https://huggingface.co/OptimalScale/robin-13b-v2-delta
pe-nlp/llama-2-13b-vicuna-wizard,58.93,57.8,82.2,54.7,41.1,18.571428571428573,https://huggingface.co/pe-nlp/llama-2-13b-vicuna-wizard
chargoddard/llama2-22b,58.9,58.5,82.6,54.7,39.8,31.428571428571427,https://huggingface.co/chargoddard/llama2-22b
gywy/llama2-13b-chinese-v1,58.86,59.8,75.7,54.2,45.7,18.571428571428573,https://huggingface.co/gywy/llama2-13b-chinese-v1
eachadea/vicuna-13b,58.79,51.7,79.9,50.8,52.7,18.571428571428573,https://huggingface.co/eachadea/vicuna-13b
Yhyu13/chimera-inst-chat-13b-hf,58.76,55.4,78.9,50.6,50.1,18.571428571428573,https://huggingface.co/Yhyu13/chimera-inst-chat-13b-hf
totally-not-an-llm/EverythingLM-13b-16k,58.7,56.6,80.6,50.2,47.5,18.571428571428573,https://huggingface.co/totally-not-an-llm/EverythingLM-13b-16k
openaccess-ai-collective/minotaur-13b,58.69,56.4,79.1,49.6,49.6,18.571428571428573,https://huggingface.co/openaccess-ai-collective/minotaur-13b
meta-llama/Llama-2-13b-hf,58.66,59.4,82.1,55.8,37.4,18.571428571428573,https://huggingface.co/meta-llama/Llama-2-13b-hf
TheBloke/Llama-2-13B-fp16,58.63,59.3,82.2,55.7,37.4,18.571428571428573,https://huggingface.co/TheBloke/Llama-2-13B-fp16
shareAI/bimoGPT-llama2-13b,58.57,58.8,82.1,55.6,37.8,18.571428571428573,https://huggingface.co/shareAI/bimoGPT-llama2-13b
wahaha1987/llama_13b_sharegpt94k_fastchat,58.57,53.8,79.5,51.5,49.5,18.571428571428573,https://huggingface.co/wahaha1987/llama_13b_sharegpt94k_fastchat
openchat/openchat_8192,58.49,59.6,81.4,46.3,46.7,0.0,https://huggingface.co/openchat/openchat_8192
dvruette/llama-13b-pretrained-sft-do2,58.49,59.0,80.3,47.2,47.4,18.571428571428573,https://huggingface.co/dvruette/llama-13b-pretrained-sft-do2
project-baize/baize-v2-13b,58.45,56.9,79.3,49.7,47.9,18.571428571428573,https://huggingface.co/project-baize/baize-v2-13b
xzuyn/Alpacino-SuperCOT-13B,58.34,58.4,81.7,47.9,45.4,18.571428571428573,https://huggingface.co/xzuyn/Alpacino-SuperCOT-13B
bofenghuang/vigogne-2-7b-instruct,58.22,56.2,80.0,47.2,49.5,10.0,https://huggingface.co/bofenghuang/vigogne-2-7b-instruct
haonan-li/bactrian-x-llama-13b-merged,58.13,56.4,79.3,48.4,48.4,18.571428571428573,https://huggingface.co/haonan-li/bactrian-x-llama-13b-merged
HWERI/Llama2-7b-sharegpt4,58.12,55.7,80.9,47.5,48.3,10.0,https://huggingface.co/HWERI/Llama2-7b-sharegpt4
beaugogh/Llama2-7b-sharegpt4-resubmit,58.12,55.7,80.9,47.5,48.3,10.0,https://huggingface.co/beaugogh/Llama2-7b-sharegpt4-resubmit
beaugogh/Llama2-7b-sharegpt4,58.12,55.7,80.9,47.5,48.3,10.0,https://huggingface.co/beaugogh/Llama2-7b-sharegpt4
jondurbin/airoboros-13b-gpt4-1.3,58.09,58.5,81.6,47.0,45.3,18.571428571428573,https://huggingface.co/jondurbin/airoboros-13b-gpt4-1.3
junelee/wizard-vicuna-13b,58.09,54.7,79.2,48.9,49.6,18.571428571428573,https://huggingface.co/junelee/wizard-vicuna-13b
TheBloke/wizard-vicuna-13B-HF,58.09,54.7,79.2,48.9,49.6,18.571428571428573,https://huggingface.co/TheBloke/wizard-vicuna-13B-HF
Open-Orca/OpenOrca-Preview1-13B,58.08,55.0,78.2,50.1,49.0,18.571428571428573,https://huggingface.co/Open-Orca/OpenOrca-Preview1-13B
TheBloke/h2ogpt-oasst1-512-30B-HF,58.07,57.3,81.4,48.1,45.5,42.857142857142854,https://huggingface.co/TheBloke/h2ogpt-oasst1-512-30B-HF
camel-ai/CAMEL-13B-Combined-Data,58.01,55.6,79.2,49.7,47.4,18.571428571428573,https://huggingface.co/camel-ai/CAMEL-13B-Combined-Data
ausboss/llama-13b-supercot,57.92,56.1,81.7,45.4,48.6,18.571428571428573,https://huggingface.co/ausboss/llama-13b-supercot
TheBloke/tulu-13B-fp16,57.9,53.9,80.7,53.2,43.8,18.571428571428573,https://huggingface.co/TheBloke/tulu-13B-fp16
NousResearch/Nous-Hermes-llama-2-7b,57.85,55.1,78.9,48.3,49.0,10.0,https://huggingface.co/NousResearch/Nous-Hermes-llama-2-7b
jlevin/guanaco-13b-llama-2,57.83,55.4,81.9,47.2,46.9,18.571428571428573,https://huggingface.co/jlevin/guanaco-13b-llama-2
lmsys/vicuna-7b-v1.5-16k,57.78,54.2,77.3,49.3,50.4,10.0,https://huggingface.co/lmsys/vicuna-7b-v1.5-16k
dvruette/llama-13b-pretrained,57.77,56.3,79.3,47.0,48.4,18.571428571428573,https://huggingface.co/dvruette/llama-13b-pretrained
dvruette/llama-13b-pretrained-dropout,57.73,56.4,79.3,46.6,48.6,18.571428571428573,https://huggingface.co/dvruette/llama-13b-pretrained-dropout
LLMs/Stable-Vicuna-13B,57.68,53.4,78.6,50.4,48.4,18.571428571428573,https://huggingface.co/LLMs/Stable-Vicuna-13B
64bits/LexPodLM-13B,57.67,57.8,81.0,48.4,43.5,91.42857142857143,https://huggingface.co/64bits/LexPodLM-13B
lizhuang144/llama_mirror_13b_v1.0,57.67,57.6,80.5,48.0,44.5,18.571428571428573,https://huggingface.co/lizhuang144/llama_mirror_13b_v1.0
mosaicml/mpt-30b-instruct,57.49,58.4,84.3,49.2,38.0,42.857142857142854,https://huggingface.co/mosaicml/mpt-30b-instruct
PocketDoc/Dans-PileOfSets-Mk1-llama-13b-merged,57.48,58.8,81.8,48.1,41.2,18.571428571428573,https://huggingface.co/PocketDoc/Dans-PileOfSets-Mk1-llama-13b-merged
vonjack/Qwen-LLaMAfied-HFTok-7B-Chat,57.48,50.5,83.6,51.5,44.2,10.0,https://huggingface.co/vonjack/Qwen-LLaMAfied-HFTok-7B-Chat
l3utterfly/llama2-7b-layla,57.43,54.2,79.3,49.7,46.5,10.0,https://huggingface.co/l3utterfly/llama2-7b-layla
beaugogh/Llama2-7b-sharegpt4,57.42,55.9,80.8,47.2,45.7,10.0,https://huggingface.co/beaugogh/Llama2-7b-sharegpt4
Lajonbot/vicuna-7b-v1.5-PL-lora_unload,57.4,53.5,76.7,49.7,49.7,10.0,https://huggingface.co/Lajonbot/vicuna-7b-v1.5-PL-lora_unload
frank098/WizardLM_13B_juniper,57.38,55.4,77.2,45.5,51.5,18.571428571428573,https://huggingface.co/frank098/WizardLM_13B_juniper
ashercn97/manatee-7b,57.38,54.5,79.0,49.3,46.8,10.0,https://huggingface.co/ashercn97/manatee-7b
chavinlo/gpt4-x-alpaca,57.37,52.8,79.6,48.2,48.9,0.0,https://huggingface.co/chavinlo/gpt4-x-alpaca
PocketDoc/Dans-PersonalityEngine-13b,57.36,58.4,82.3,47.6,41.1,18.571428571428573,https://huggingface.co/PocketDoc/Dans-PersonalityEngine-13b
digitous/Alpacino13b,57.36,58.5,81.3,47.9,41.7,18.571428571428573,https://huggingface.co/digitous/Alpacino13b
edor/Hermes-Platypus2-mini-7B,57.34,53.8,79.2,47.1,49.3,10.0,https://huggingface.co/edor/Hermes-Platypus2-mini-7B
lvkaokao/llama2-7b-hf-chat-lora-v2,57.31,55.0,78.8,51.4,44.0,10.0,https://huggingface.co/lvkaokao/llama2-7b-hf-chat-lora-v2
Kiddyz/testlm,57.23,53.5,75.8,51.2,48.4,0.0,https://huggingface.co/Kiddyz/testlm
Kiddyz/testlm-1-1,57.23,53.5,75.8,51.2,48.4,0.0,https://huggingface.co/Kiddyz/testlm-1-1
Kiddyz/testlm-1,57.23,53.5,75.8,51.2,48.4,0.0,https://huggingface.co/Kiddyz/testlm-1
YeungNLP/firefly-ziya-13b,57.08,55.4,78.5,45.2,49.3,18.571428571428573,https://huggingface.co/YeungNLP/firefly-ziya-13b
dvruette/llama-13b-pretrained-sft-epoch-1,56.8,57.2,80.0,45.5,44.4,18.571428571428573,https://huggingface.co/dvruette/llama-13b-pretrained-sft-epoch-1
camel-ai/CAMEL-13B-Role-Playing-Data,56.79,55.0,79.2,46.6,46.4,18.571428571428573,https://huggingface.co/camel-ai/CAMEL-13B-Role-Playing-Data
ziqingyang/chinese-llama-2-13b,56.65,55.8,79.5,53.0,38.2,18.571428571428573,https://huggingface.co/ziqingyang/chinese-llama-2-13b
TheBloke/koala-13B-HF,56.53,53.0,77.6,45.3,50.2,18.571428571428573,https://huggingface.co/TheBloke/koala-13B-HF
lmsys/vicuna-7b-delta-v1.1,56.43,53.7,77.5,45.6,49.0,10.0,https://huggingface.co/lmsys/vicuna-7b-delta-v1.1
eachadea/vicuna-7b-1.1,56.43,53.7,77.5,45.6,48.9,10.0,https://huggingface.co/eachadea/vicuna-7b-1.1
Ejafa/vicuna_7B_vanilla_1.1,56.43,53.7,77.5,45.6,48.9,10.0,https://huggingface.co/Ejafa/vicuna_7B_vanilla_1.1
lvkaokao/llama2-7b-hf-chat-lora,56.39,55.7,78.8,48.0,43.1,10.0,https://huggingface.co/lvkaokao/llama2-7b-hf-chat-lora
OpenBuddy/openbuddy-atom-13b-v9-bf16,56.38,51.2,76.0,49.7,48.6,18.571428571428573,https://huggingface.co/OpenBuddy/openbuddy-atom-13b-v9-bf16
heegyu/WizardVicuna2-13b-hf,56.35,55.4,79.1,48.5,42.4,18.571428571428573,https://huggingface.co/heegyu/WizardVicuna2-13b-hf
meta-llama/Llama-2-7b-chat-hf,56.34,52.9,78.6,48.3,45.6,10.0,https://huggingface.co/meta-llama/Llama-2-7b-chat-hf
davzoku/cria-llama2-7b-v1.3,56.3,52.7,78.6,48.3,45.6,10.0,https://huggingface.co/davzoku/cria-llama2-7b-v1.3
lvkaokao/llama2-7b-hf-instruction-lora,56.29,55.4,78.6,49.4,41.8,10.0,https://huggingface.co/lvkaokao/llama2-7b-hf-instruction-lora
Tap-M/Luna-AI-Llama2-Uncensored,56.29,54.4,78.6,46.7,45.5,0.0,https://huggingface.co/Tap-M/Luna-AI-Llama2-Uncensored
Mikael110/llama-2-7b-guanaco-fp16,56.18,54.9,79.6,46.4,43.8,10.0,https://huggingface.co/Mikael110/llama-2-7b-guanaco-fp16
mosaicml/mpt-30b,56.15,55.9,82.4,47.9,38.4,42.857142857142854,https://huggingface.co/mosaicml/mpt-30b
llama-13b,56.08,56.2,80.9,47.7,39.5,18.571428571428573,
dvruette/oasst-llama-13b-1000-steps,56.07,58.1,81.5,48.6,36.0,18.571428571428573,https://huggingface.co/dvruette/oasst-llama-13b-1000-steps
jordiclive/gpt4all-alpaca-oa-codealpaca-lora-13b,56.06,56.1,80.9,47.7,39.5,18.571428571428573,https://huggingface.co/jordiclive/gpt4all-alpaca-oa-codealpaca-lora-13b
huggyllama/llama-13b,56.04,56.1,80.9,47.6,39.5,18.571428571428573,https://huggingface.co/huggyllama/llama-13b
TFLai/llama-13b-4bit-alpaca,55.95,55.7,80.9,42.4,44.8,18.571428571428573,https://huggingface.co/TFLai/llama-13b-4bit-alpaca
lmsys/longchat-13b-16k,55.89,53.6,77.7,45.2,47.1,18.571428571428573,https://huggingface.co/lmsys/longchat-13b-16k
TheTravellingEngineer/llama2-7b-chat-hf-dpo,55.8,53.7,78.8,46.8,44.0,10.0,https://huggingface.co/TheTravellingEngineer/llama2-7b-chat-hf-dpo
HuggingFaceH4/starchat-beta,55.78,52.5,80.6,42.8,47.2,0.0,https://huggingface.co/HuggingFaceH4/starchat-beta
conceptofmind/LLongMA-2-13b-16k,55.64,54.3,79.6,51.0,37.7,18.571428571428573,https://huggingface.co/conceptofmind/LLongMA-2-13b-16k
lmsys/vicuna-7b-v1.3,55.62,50.4,76.9,48.1,47.0,10.0,https://huggingface.co/lmsys/vicuna-7b-v1.3
conceptofmind/LLongMA-2-13b-16k,55.61,54.3,79.7,50.9,37.7,18.571428571428573,https://huggingface.co/conceptofmind/LLongMA-2-13b-16k
openchat/opencoderplus,55.57,50.6,78.2,42.7,50.7,0.0,https://huggingface.co/openchat/opencoderplus
heegyu/LIMA2-7b-hf,55.45,53.2,80.6,43.2,44.7,10.0,https://huggingface.co/heegyu/LIMA2-7b-hf
llama-anon/instruct-13b,55.32,56.1,80.3,47.9,37.0,18.571428571428573,https://huggingface.co/llama-anon/instruct-13b
Aspik101/Llama-2-7b-hf-instruct-pl-lora_unload,55.31,53.8,78.3,46.8,42.3,10.0,https://huggingface.co/Aspik101/Llama-2-7b-hf-instruct-pl-lora_unload
shibing624/chinese-alpaca-plus-13b-hf,55.2,53.2,73.5,48.8,45.3,18.571428571428573,https://huggingface.co/shibing624/chinese-alpaca-plus-13b-hf
quantumaikr/llama-2-7b-hf-guanaco-1k,55.15,51.6,76.7,47.4,44.8,10.0,https://huggingface.co/quantumaikr/llama-2-7b-hf-guanaco-1k
TheTravellingEngineer/llama2-7b-hf-guanaco,55.11,52.5,78.8,45.3,43.9,10.0,https://huggingface.co/TheTravellingEngineer/llama2-7b-hf-guanaco
Lajonbot/Llama-2-7b-chat-hf-instruct-pl-lora_unload,55.05,53.0,77.5,47.1,42.6,10.0,https://huggingface.co/Lajonbot/Llama-2-7b-chat-hf-instruct-pl-lora_unload
jondurbin/airoboros-l2-7b-gpt4-1.4.1,55.04,55.1,79.6,45.2,40.3,10.0,https://huggingface.co/jondurbin/airoboros-l2-7b-gpt4-1.4.1
wahaha1987/llama_7b_sharegpt94k_fastchat,55.04,53.2,76.9,44.6,45.3,10.0,https://huggingface.co/wahaha1987/llama_7b_sharegpt94k_fastchat
FelixChao/vicuna-7B-chemical,55.01,49.8,74.4,44.1,51.7,10.0,https://huggingface.co/FelixChao/vicuna-7B-chemical
TinyPixel/llama2-7b-oa,54.97,53.4,78.7,46.7,41.1,10.0,https://huggingface.co/TinyPixel/llama2-7b-oa
chaoyi-wu/MedLLaMA_13B,54.93,54.3,78.5,46.4,40.5,18.571428571428573,https://huggingface.co/chaoyi-wu/MedLLaMA_13B
edor/Platypus2-mini-7B,54.93,53.3,78.8,45.6,42.0,10.0,https://huggingface.co/edor/Platypus2-mini-7B
RoversX/llama-2-7b-hf-small-shards-Samantha-V1-SFT,54.91,53.2,77.7,43.5,45.3,10.0,https://huggingface.co/RoversX/llama-2-7b-hf-small-shards-Samantha-V1-SFT
psyche/kollama2-7b,54.72,53.2,78.8,42.3,44.6,10.0,https://huggingface.co/psyche/kollama2-7b
