Model,Average,ARC(25-shot),HellaSwag(10-shot),MMLU(5-shot),TruthfulQA(0-shot),Parameters,URL
tiiuae/falcon-40b-instruct,63.4,61.6,84.3,55.4,52.5,60.60606060606061,https://huggingface.co/tiiuae/falcon-40b-instruct
CalderaAI/30B-Lazarus,63.2,57.8,81.7,55.3,58.0,45.45454545454545,https://huggingface.co/CalderaAI/30B-Lazarus
ausboss/llama-30b-supercot,62.4,58.4,82.9,55.8,52.5,45.45454545454545,https://huggingface.co/ausboss/llama-30b-supercot
llama-65b,62.1,57.6,84.3,63.4,43.0,98.48484848484848,
huggyllama/llama-65b,62.1,57.6,84.3,63.4,43.0,98.48484848484848,https://huggingface.co/huggyllama/llama-65b
tiiuae/falcon-40b,61.5,61.9,85.3,57.0,41.7,60.60606060606061,https://huggingface.co/tiiuae/falcon-40b
MetaIX/GPT4-X-Alpasta-30b,61.4,56.7,81.3,56.9,50.6,45.45454545454545,https://huggingface.co/MetaIX/GPT4-X-Alpasta-30b
openaccess-ai-collective/manticore-30b-chat-pyg-alpha,61.2,58.2,81.8,54.0,50.8,45.45454545454545,https://huggingface.co/openaccess-ai-collective/manticore-30b-chat-pyg-alpha
timdettmers/guanaco-33b-merged,60.9,57.5,82.8,52.5,50.8,50.0,https://huggingface.co/timdettmers/guanaco-33b-merged
Aeala/VicUnlocked-alpaca-30b,60.6,54.3,80.6,57.4,50.3,45.45454545454545,https://huggingface.co/Aeala/VicUnlocked-alpaca-30b
TheBloke/dromedary-65b-lora-HF,60.4,58.1,80.8,63.3,39.3,98.48484848484848,https://huggingface.co/TheBloke/dromedary-65b-lora-HF
digitous/Alpacino30b,60.3,57.1,82.6,58.2,43.3,45.45454545454545,https://huggingface.co/digitous/Alpacino30b
Aeala/GPT4-x-AlpacaDente2-30b,60.0,56.2,79.8,56.4,47.5,45.45454545454545,https://huggingface.co/Aeala/GPT4-x-AlpacaDente2-30b
llama-30b,59.7,57.2,82.5,56.8,42.3,45.45454545454545,
elinas/chronos-33b,59.4,54.9,81.5,55.6,45.6,50.0,https://huggingface.co/elinas/chronos-33b
TheBloke/Wizard-Vicuna-13B-Uncensored-HF,58.6,53.5,79.6,49.2,52.0,19.696969696969695,https://huggingface.co/TheBloke/Wizard-Vicuna-13B-Uncensored-HF
cyl/awsome-llama,58.6,54.4,79.7,48.9,51.3,0.0,https://huggingface.co/cyl/awsome-llama
NousResearch/Nous-Hermes-13b,58.0,52.0,80.0,48.7,51.1,19.696969696969695,https://huggingface.co/NousResearch/Nous-Hermes-13b
openaccess-ai-collective/wizard-mega-13b,57.8,52.6,78.6,49.2,50.7,19.696969696969695,https://huggingface.co/openaccess-ai-collective/wizard-mega-13b
jondurbin/airoboros-13b,57.8,52.3,79.1,48.6,51.1,19.696969696969695,https://huggingface.co/jondurbin/airoboros-13b
