Model,Average,ARC (25-shot),HellaSwag (10-shot),MMLU (5-shot),TruthfulQA (0-shot),Parameters,URL
llama-65b,58.3,57.8,84.2,48.8,42.3,100.0,
MetaIX/GPT4-X-Alpasta-30b,57.9,56.7,81.4,43.6,49.7,46.15384615384615,https://huggingface.co/MetaIX/GPT4-X-Alpasta-30b
digitous/Alpacino30b,57.4,57.1,82.6,46.1,43.8,46.15384615384615,https://huggingface.co/digitous/Alpacino30b
Aeala/GPT4-x-AlpacaDente2-30b,57.2,56.1,79.8,44.0,49.1,46.15384615384615,https://huggingface.co/Aeala/GPT4-x-AlpacaDente2-30b
TheBloke/dromedary-65b-lora-HF,57.0,57.8,80.8,50.8,38.8,100.0,https://huggingface.co/TheBloke/dromedary-65b-lora-HF
llama-30b,56.9,57.1,82.6,45.7,42.3,46.15384615384615,
TheBloke/vicuna-13B-1.1-HF,53.7,47.4,78.0,39.6,49.8,20.0,https://huggingface.co/TheBloke/vicuna-13B-1.1-HF
chavinlo/gpt4-x-alpaca,53.6,47.8,77.7,39.1,49.7,0.0,https://huggingface.co/chavinlo/gpt4-x-alpaca
eachadea/vicuna-13b,53.1,45.1,77.9,38.1,51.3,20.0,https://huggingface.co/eachadea/vicuna-13b
stable-vicuna-13b,52.4,48.1,76.4,38.8,46.5,20.0,
eachadea/vicuna-7b-1.1,52.2,47.0,75.2,37.5,48.9,10.76923076923077,https://huggingface.co/eachadea/vicuna-7b-1.1
llama-13b,51.8,50.8,78.9,37.7,39.9,20.0,
alpaca-13b,51.7,51.9,77.6,37.6,39.6,20.0,
wordcab/llama-natural-instructions-13b,49.7,48.0,77.1,36.1,37.7,20.0,https://huggingface.co/wordcab/llama-natural-instructions-13b
chainyo/alpaca-lora-7b,48.4,45.5,75.2,34.4,38.7,10.76923076923077,https://huggingface.co/chainyo/alpaca-lora-7b
llama-7b,47.6,46.6,75.6,34.2,34.1,10.76923076923077,
nomic-ai/gpt4all-j,46.2,41.2,64.5,33.3,45.6,0.0,https://huggingface.co/nomic-ai/gpt4all-j
EleutherAI/gpt-neox-20b,45.9,45.2,73.4,33.3,31.7,30.76923076923077,https://huggingface.co/EleutherAI/gpt-neox-20b
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,45.7,44.4,71.3,34.0,33.2,10.76923076923077,https://huggingface.co/togethercomputer/RedPajama-INCITE-Base-7B-v0.1
OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5,45.6,45.6,68.5,30.6,37.8,18.461538461538463,https://huggingface.co/OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5
databricks/dolly-v2-12b,44.9,41.2,72.3,31.7,34.3,18.461538461538463,https://huggingface.co/databricks/dolly-v2-12b
Pirr/pythia-13b-deduped-green_devil,44.6,42.6,68.8,31.6,35.5,20.0,https://huggingface.co/Pirr/pythia-13b-deduped-green_devil
databricks/dolly-v2-7b,44.4,43.7,69.3,30.2,34.5,10.76923076923077,https://huggingface.co/databricks/dolly-v2-7b
EleutherAI/gpt-j-6b,44.3,41.4,67.6,32.3,36.0,9.230769230769232,https://huggingface.co/EleutherAI/gpt-j-6b
facebook/opt-13b,44.0,40.5,71.3,30.4,34.0,20.0,https://huggingface.co/facebook/opt-13b
KoboldAI/OPT-13B-Nerybus-Mix,43.8,40.2,70.7,30.1,34.4,20.0,https://huggingface.co/KoboldAI/OPT-13B-Nerybus-Mix
togethercomputer/RedPajama-INCITE-Base-3B-v1,42.2,40.2,64.7,30.6,33.2,4.615384615384616,https://huggingface.co/togethercomputer/RedPajama-INCITE-Base-3B-v1
databricks/dolly-v2-3b,42.1,39.8,65.2,29.7,33.7,4.615384615384616,https://huggingface.co/databricks/dolly-v2-3b
HuggingFaceH4/starchat-alpha,39.8,31.7,49.4,34.4,43.7,0.0,https://huggingface.co/HuggingFaceH4/starchat-alpha
Salesforce/codegen-16B-multi,39.2,33.6,51.2,28.9,43.3,24.615384615384617,https://huggingface.co/Salesforce/codegen-16B-multi
stabilityai/stablelm-tuned-alpha-7b,38.3,31.9,53.6,27.4,40.2,10.76923076923077,https://huggingface.co/stabilityai/stablelm-tuned-alpha-7b
facebook/opt-1.3b,37.7,29.6,54.6,27.7,38.7,2.0,https://huggingface.co/facebook/opt-1.3b
gpt2-xl,36.8,30.3,51.4,26.9,38.5,0.0,
aisquared/dlite-v2-774m,35.9,30.0,47.7,25.9,40.0,1.1907692307692308,https://huggingface.co/aisquared/dlite-v2-774m
gpt2-large,34.0,25.9,45.6,25.6,38.7,0.0,
gpt2-medium,33.8,27.2,40.2,27.0,40.7,0.0,
cerebras/Cerebras-GPT-1.3B,33.4,26.1,38.5,26.2,42.7,2.0,https://huggingface.co/cerebras/Cerebras-GPT-1.3B
facebook/opt-350m,32.2,23.6,36.7,27.3,41.0,0.5384615384615384,https://huggingface.co/facebook/opt-350m
facebook/opt-125m,31.2,23.1,31.5,27.4,42.9,0.19230769230769232,https://huggingface.co/facebook/opt-125m
gpt2,30.4,21.9,31.6,27.5,40.7,0.0,
distilgpt2,30.2,22.2,27.5,26.8,44.5,0.0,
cerebras/Cerebras-GPT-111M,29.9,20.0,26.7,26.7,46.3,0.17076923076923076,https://huggingface.co/cerebras/Cerebras-GPT-111M
vicgalle/gpt2-alpaca-gpt4,29.8,22.7,31.1,27.3,38.0,0.0,https://huggingface.co/vicgalle/gpt2-alpaca-gpt4
bigscience/bloomz-3b,19.3,36.9,0.0,0.0,40.3,4.615384615384616,https://huggingface.co/bigscience/bloomz-3b
lamini/instruct-tuned-3b,19.0,32.8,0.0,0.0,43.2,4.615384615384616,https://huggingface.co/lamini/instruct-tuned-3b
hakurei/instruct-12b,18.7,42.8,0.0,0.0,31.9,18.461538461538463,https://huggingface.co/hakurei/instruct-12b
stabilityai/stablelm-tuned-alpha-3b,17.5,27.7,0.0,0.0,42.3,4.615384615384616,https://huggingface.co/stabilityai/stablelm-tuned-alpha-3b
