Model,Average,ARC(25-shot),HellaSwag(10-shot),MMLU(5-shot),TruthfulQA(0-shot),Parameters,URL
uni-tianyan/Uni-TianYan,73.81,72.1,87.4,69.9,65.8,0.0,https://huggingface.co/uni-tianyan/Uni-TianYan
Riiid/sheep-duck-llama-2,73.69,72.4,87.8,70.8,63.8,0.0,https://huggingface.co/Riiid/sheep-duck-llama-2
Riiid/sheep-duck-llama-2,73.67,72.3,87.8,70.8,63.8,0.0,https://huggingface.co/Riiid/sheep-duck-llama-2
fangloveskari/ORCA_LLaMA_70B_QLoRA,73.4,72.3,87.7,70.2,63.4,100.0,https://huggingface.co/fangloveskari/ORCA_LLaMA_70B_QLoRA
ICBU-NPU/FashionGPT-70B-V1,73.26,71.1,87.3,70.7,63.9,100.0,https://huggingface.co/ICBU-NPU/FashionGPT-70B-V1
oh-yeontaek/llama-2-70B-LoRA-assemble-v2,73.22,71.8,86.9,69.4,64.8,100.0,https://huggingface.co/oh-yeontaek/llama-2-70B-LoRA-assemble-v2
budecosystem/genz-70b,73.21,71.4,88.0,70.8,62.7,100.0,https://huggingface.co/budecosystem/genz-70b
oh-yeontaek/llama-2-70B-LoRA-assemble,73.2,71.8,86.8,69.4,64.8,100.0,https://huggingface.co/oh-yeontaek/llama-2-70B-LoRA-assemble
garage-bAInd/Platypus2-70B-instruct,73.13,71.8,87.9,70.5,62.3,100.0,https://huggingface.co/garage-bAInd/Platypus2-70B-instruct
upstage/SOLAR-0-70b-16bit,72.95,71.1,87.9,70.6,62.2,100.0,https://huggingface.co/upstage/SOLAR-0-70b-16bit
fangloveskari/Platypus_QLoRA_LLaMA_70b,72.94,72.1,87.5,71.0,61.2,100.0,https://huggingface.co/fangloveskari/Platypus_QLoRA_LLaMA_70b
yeontaek/llama-2-70B-ensemble-v5,72.86,71.2,87.2,69.6,63.4,100.0,https://huggingface.co/yeontaek/llama-2-70B-ensemble-v5
TheBloke/Genz-70b-GPTQ,72.82,71.1,87.6,70.3,62.3,100.0,https://huggingface.co/TheBloke/Genz-70b-GPTQ
lizpreciatior/lzlv_70b_fp16_hf,72.1,70.1,87.5,70.2,60.5,100.0,https://huggingface.co/lizpreciatior/lzlv_70b_fp16_hf
yeontaek/llama-2-70B-ensemble-v3,72.01,68.5,87.2,68.2,64.2,100.0,https://huggingface.co/yeontaek/llama-2-70B-ensemble-v3
chargoddard/MelangeC-70b,71.94,71.7,87.6,70.4,58.1,100.0,https://huggingface.co/chargoddard/MelangeC-70b
lloorree/kssht-dahj-70b,71.87,70.8,87.3,70.4,58.9,100.0,https://huggingface.co/lloorree/kssht-dahj-70b
Xwin-LM/Xwin-LM-70B-V0.1,71.78,70.2,87.2,69.8,59.9,100.0,https://huggingface.co/Xwin-LM/Xwin-LM-70B-V0.1
jondurbin/airoboros-l2-70b-2.2.1,71.73,69.7,88.0,69.8,59.5,100.0,https://huggingface.co/jondurbin/airoboros-l2-70b-2.2.1
garage-bAInd/Camel-Platypus2-70B,71.7,71.1,87.6,70.0,58.1,100.0,https://huggingface.co/garage-bAInd/Camel-Platypus2-70B
yeontaek/llama-2-70B-ensemble-v2,71.67,68.8,85.4,68.0,64.5,100.0,https://huggingface.co/yeontaek/llama-2-70B-ensemble-v2
garage-bAInd/Camel-Platypus2-70B,71.66,71.2,87.6,69.6,58.2,100.0,https://huggingface.co/garage-bAInd/Camel-Platypus2-70B
migtissera/Synthia-70B-v1.2,71.56,70.5,87.0,70.1,58.6,100.0,https://huggingface.co/migtissera/Synthia-70B-v1.2
augtoma/qCammel-70x,70.97,68.3,87.9,70.2,57.5,0.0,https://huggingface.co/augtoma/qCammel-70x
augtoma/qCammel-70-x,70.97,68.3,87.9,70.2,57.5,0.0,https://huggingface.co/augtoma/qCammel-70-x
augtoma/qCammel-70,70.97,68.3,87.9,70.2,57.5,0.0,https://huggingface.co/augtoma/qCammel-70
lloorree/kssht-castor-70b,70.94,69.5,87.5,70.4,56.3,100.0,https://huggingface.co/lloorree/kssht-castor-70b
jondurbin/airoboros-l2-70b-gpt4-1.4.1,70.93,70.4,87.8,70.3,55.2,100.0,https://huggingface.co/jondurbin/airoboros-l2-70b-gpt4-1.4.1
Doctor-Shotgun/mythospice-70b,70.92,69.3,87.5,70.1,56.8,100.0,https://huggingface.co/Doctor-Shotgun/mythospice-70b
lloorree/kssht-euripedes-70b,70.83,69.8,87.6,70.4,55.5,100.0,https://huggingface.co/lloorree/kssht-euripedes-70b
dfurman/llama-2-70b-dolphin-peft,70.76,69.6,86.8,69.2,57.4,100.0,https://huggingface.co/dfurman/llama-2-70b-dolphin-peft
migtissera/Synthia-70B-v1.2b,70.71,68.8,87.6,68.8,57.7,100.0,https://huggingface.co/migtissera/Synthia-70B-v1.2b
Sao10K/Euryale-L2-70B,69.84,68.9,87.1,68.8,54.5,100.0,https://huggingface.co/Sao10K/Euryale-L2-70B
NousResearch/Nous-Hermes-Llama2-70b,69.79,67.6,86.8,69.7,55.0,100.0,https://huggingface.co/NousResearch/Nous-Hermes-Llama2-70b
v2ray/LLaMA-2-Jannie-70B-QLoRA,69.72,68.9,86.9,69.4,53.7,100.0,https://huggingface.co/v2ray/LLaMA-2-Jannie-70B-QLoRA
jondurbin/airoboros-l2-70b-gpt4-m2.0,69.59,70.0,87.8,70.7,49.8,100.0,https://huggingface.co/jondurbin/airoboros-l2-70b-gpt4-m2.0
jondurbin/airoboros-l2-70b-gpt4-m2.0,69.51,70.0,87.8,70.5,49.8,100.0,https://huggingface.co/jondurbin/airoboros-l2-70b-gpt4-m2.0
OpenAssistant/llama2-70b-oasst-sft-v10,69.4,67.1,86.4,67.7,56.4,100.0,https://huggingface.co/OpenAssistant/llama2-70b-oasst-sft-v10
yeontaek/llama-2-70B-ensemble-v8,69.37,67.2,84.6,63.6,62.1,100.0,https://huggingface.co/yeontaek/llama-2-70B-ensemble-v8
jondurbin/airoboros-l2-70b-gpt4-2.0,69.15,68.5,87.9,70.4,49.8,100.0,https://huggingface.co/jondurbin/airoboros-l2-70b-gpt4-2.0
